year,month,nino34_anom,oni
2009,3,-0.69,-0.6100000000000005
2009,4,-0.35,-0.32666666666666727
2009,5,0.06,0.006666666666666081
2009,6,0.31,0.2833333333333327
2009,7,0.48,0.44999999999999946
2009,8,0.56,0.5733333333333328
2009,9,0.68,0.7099999999999994
2009,10,0.89,1.0099999999999996
2009,11,1.46,1.3633333333333326
2009,12,1.74,1.573333333333333
2010,1,1.52,1.5033333333333327
2010,2,1.25,1.2233333333333327
2010,3,0.9,0.8433333333333328
2010,4,0.38,0.3533333333333328
2010,5,-0.22,-0.17666666666666722
2010,6,-0.69,-0.6600000000000006
2010,7,-1.07,-1.0500000000000005
2010,8,-1.39,-1.3533333333333342
